"Name","Symbol","Date","High","Low","Open","Close","market_billion_usd","volume_billion_usd"
"Bitcoin","BTC",2017-07-07,29600.6269503,28803.58501355,28994.00891641,29374.15188907,546.001594837512,40.7303013586402
"Bitcoin","BTC",2017-07-08,33155.11881942,29091.18119088,29376.45583414,32127.26793922,597.20594466885,67.8654207654564
"Bitcoin","BTC",2017-07-09,34608.55673797,32052.31707551,32129.4073556,32782.02446581,609.409213147033,78.6652352018428
"Bitcoin","BTC",2017-07-10,33440.21856853,28722.75527058,32810.94764381,31971.91352155,594.384025390855,81.1634753441808
"Bitcoin","BTC",2017-07-11,34437.5905918,30221.1867389,31977.04113228,33992.42934365,631.980005969628,67.5473247816809
"Bitcoin","BTC",2017-07-12,36879.69856854,33514.03374162,34013.614533,36824.36441009,684.67124632365,75.2894338105909
"Bitcoin","BTC",2017-07-13,40180.3679073,36491.18981083,36833.87435728,39371.04235311,732.062681138135,84.7621410314945
"Bitcoin","BTC",2017-07-14,41946.73935079,36838.63599637,39381.76584266,40797.61071993,758.625941266752,88.1075194795047
"Bitcoin","BTC",2017-07-15,41436.35000639,38980.87690625,40788.64052286,40254.54649816,748.563483043138,61.9841628370747
"Bitcoin","BTC",2017-07-16,41420.19103255,35984.62712175,40254.21779758,38356.43950662,713.304617760949,79.9807476903546
"Bitcoin","BTC",2017-07-17,38346.52950301,30549.59876946,38346.52950301,35566.65594049,661.457321418052,123.320567398623
"Bitcoin","BTC",2017-07-18,36568.52697414,32697.97662163,35516.36114084,33922.9605815,630.920422745048,74.7732779094566
"Bitcoin","BTC",2017-07-19,37599.96059774,32584.66767186,33915.11958124,37316.35939997,694.069582193756,69.3643159792799
"Bitcoin","BTC",2017-07-20,39966.40524241,36868.5632453,37325.10763475,39187.32812109,728.904366964361,63.6159900330102
"Bitcoin","BTC",2017-07-21,39577.71118833,34659.58974449,39156.7080858,36825.36585131,685.005864471362,67.7607578807239
"Bitcoin","BTC",2017-07-22,37864.36887891,35633.55401669,36821.64873201,36178.13890106,673.000645230822,57.7061878751045
"Bitcoin","BTC",2017-07-23,36722.34987621,34069.32218533,36163.64923243,35791.27792129,665.831621390986,52.3598543362119
"Bitcoin","BTC",2017-07-24,37299.28580604,34883.84404829,35792.23666766,36630.07568284,681.470030572075,49.5117024293542
"Bitcoin","BTC",2017-07-25,37755.89185872,36069.80639361,36642.23272357,36069.80639361,671.081200699871,57.2441954855007
"Bitcoin","BTC",2017-07-26,36378.32670045,33570.47780293,36050.11269824,35547.7508855,661.400102161156,66.8345731612987
"Bitcoin","BTC",2017-07-27,35552.67949732,30250.74963896,35549.39740902,30825.69850603,573.565664943002,75.6430676877441
"Bitcoin","BTC",2017-07-28,33811.85156014,28953.372751,30817.62519242,33005.76356216,614.160521491552,77.2072725111301
"Bitcoin","BTC",2017-07-29,33360.97818593,31493.15966789,32985.75691326,32067.64288212,596.733137645063,48.3547379752892
"Bitcoin","BTC",2017-07-30,32944.00894195,31106.68577002,32064.37631516,32289.37808687,600.888568009501,48.6438305993616
"Bitcoin","BTC",2017-07-31,34802.74297839,32087.78796567,32285.79891345,32366.39304887,602.350097075439,59.8970548379431
"Bitcoin","BTC",2017-08-01,32794.5495902,31030.26596571,32358.6131737,32569.84955679,606.169260386978,60.2554214704068
"Bitcoin","BTC",2017-08-02,32564.03024112,29367.13921776,32564.03024112,30432.54707881,566.417413553967,62.576762015466
"Bitcoin","BTC",2017-08-03,33858.31099229,30023.2068317,30441.0418168,33466.09635821,622.91007381962,76.51715770632
"Bitcoin","BTC",2017-08-04,38406.26096472,32064.81418675,34318.6716924,34316.38765032,638.76867136187,117.89457251068
"Bitcoin","BTC",2017-08-05,34834.70830094,32940.18691419,34295.9350435,34269.52154165,637.92457328379,65.14182879826
"Bitcoin","BTC",2017-08-06,34288.33147504,32270.17602471,34270.87759214,33114.35774753,616.45274453329,52.75454267138
"Bitcoin","BTC",2017-08-07,34638.21348502,32384.22810648,33114.57724298,33537.1768196,624.34904440912,61.40040066027
