Coin,XRP,XRP,XRP,XRP,XRP,XRP,BTC,BTC,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,ETH,ETH
,Change %,High,Low,Open,Price,Vol.,Change %,High,Low,Open,Price,Vol.,Change %,High,Low,Open,Price,Vol.
Date,,,,,,,,,,,,,,,,,,
8/1/17,9.57%,0.185,0.1585,0.163,0.1786,26.82M,-4.37%,2901.6,2615.8,2854.3,2731.2,42.31K,12.53%,232.59,200.8,200.81,225.97,352.31K
8/2/17,-4.59%,0.18,0.168,0.1786,0.1704,11.47M,-1.07%,2757.8,2640,2733.8,2702,23.76K,-3.53%,229.7,215,225.97,218,159.47K
8/3/17,2.46%,0.1772,0.1688,0.1704,0.1746,4.59M,3.27%,2813,2698,2702,2790.3,16.86K,3.11%,228.2,217.07,218,224.79,96.19K
8/4/17,-0.57%,0.178,0.171,0.1746,0.1736,7.21M,2.50%,2874.8,2762.6,2790.3,2860,18.99K,-1.81%,228.3,218.66,224.79,220.73,83.46K
8/5/17,5.99%,0.192,0.171,0.1736,0.184,20.38M,13.86%,3331.9,2855,2860,3256.4,50.56K,15.01%,259.9,219.23,220.73,253.87,234.87K
8/6/17,-2.01%,0.1898,0.1765,0.184,0.1803,12.15M,-0.88%,3309.8,3156,3255,3227.9,16.95K,4.10%,271.5,251,253.87,264.29,209.86K
8/7/17,-0.72%,0.183,0.1763,0.1803,0.179,10.48M,5.23%,3440,3190,3232.5,3396.7,24.54K,1.98%,274.6,257.32,264.29,269.51,146.17K
8/8/17,9.44%,0.2,0.1768,0.179,0.1959,31.91M,0.54%,3482.9,3343.8,3395,3415,31.72K,9.77%,299.5,265,269.51,295.83,207.56K
8/9/17,-6.38%,0.1959,0.18,0.1959,0.1834,13.38M,-2.20%,3424.4,3236.8,3415,3339.9,26.25K,-0.62%,316,277,295.83,293.99,400.20K
8/10/17,-1.42%,0.185,0.177,0.1834,0.1808,11.26M,2.04%,3444.4,3310,3340.2,3407.9,19.13K,0.67%,310.05,287.6,293.99,295.97,155.41K
8/11/17,-1.83%,0.1834,0.1753,0.1808,0.1775,10.87M,6.93%,3690.6,3380,3404.7,3644.1,26.43K,4.34%,310.42,294,295.97,308.81,130.15K
8/12/17,-3.15%,0.1828,0.1704,0.1775,0.1719,13.18M,6.08%,3965.4,3590,3643.4,3865.5,37.66K,-0.51%,319.78,299,308.81,307.22,160.55K
8/13/17,-3.37%,0.1719,0.1585,0.1719,0.1661,20.08M,4.86%,4183.7,3836.1,3866.2,4053.3,48.16K,-3.44%,308,285.21,307.22,296.64,166.56K
8/14/17,0.96%,0.1801,0.165,0.1661,0.1677,10.23M,6.57%,4330.3,3969.3,4061.6,4319.5,34.22K,0.53%,306.48,293.99,296.64,298.22,106.08K
8/15/17,-5.78%,0.1677,0.1521,0.1677,0.158,18.86M,-3.88%,4430,3841.9,4321,4151.9,64.13K,-4.10%,299.91,272.29,298.22,286,179.77K
